timestamp,id,hertz,acceleration,magnetic,gyro
2024-02-23T22:04:46.857271,2,10,"[-0.21475582835, -0.34636107135, 8.496314846949998]","[0.34454, -0.050260000000000006, -0.53634]","[-0.2861903640957702, -0.04886921905584123, -0.04734205596034619]"
2024-02-23T22:04:46.957390,2,10,"[0.08315058534999999, -0.81774712355, 10.302895909950001]","[0.37142000000000003, -0.08526, -0.5033000000000001]","[-0.4193589860229376, -0.07788531787024697, 0.027947084647559205]"
2024-02-23T22:04:47.057416,2,10,"[0.01734796385, -0.19920248144999997, 10.52064276655]","[0.38066, -0.13426000000000002, -0.48342000000000007]","[-0.29413161219234446, -0.06688974358268268, -0.019853120241435502]"
2024-02-23T22:04:47.157503,2,10,"[-0.30747770409999997, -0.1579262916, 10.328020547249999]","[0.37618000000000007, -0.16758, -0.45402000000000003]","[-0.023976460599272102, -0.0022907446432425577, -0.05818491393836096]"
2024-02-23T22:04:47.257557,2,10,"[-0.4133601041499999, 0.16570296504999998, 10.742577062699999]","[0.36274, -0.19866000000000003, -0.4116]","[-0.1356120828799594, 0.061544672748450054, -0.0054977871437821395]"
2024-02-23T22:04:47.357677,2,10,"[-0.21834506225, 0.2596212521, 10.037890806999998]","[0.36022000000000004, -0.21798, -0.40474000000000004]","[-0.03588833274413341, -0.059406644414757, 0.026878070480712675]"
2024-02-23T22:04:47.457696,2,10,"[-0.21954147355, 0.3565305674, 9.8321080634]","[0.35350000000000004, -0.23534000000000002, -0.38976000000000005]","[0.04230241774521256, -0.05238169417547982, -0.02901609881440573]"
2024-02-23T22:04:47.557793,2,10,"[-0.39421752335, 0.24646072779999997, 9.864411168499998]","[0.34258000000000005, -0.25746, -0.37464000000000003]","[0.005345070834232635, 0.026878070480712675, 0.018020524526841455]"
2024-02-23T22:04:47.657835,2,10,"[-0.36011980130000004, 0.41216369284999993, 9.6753781831]","[0.33390000000000003, -0.28182000000000007, -0.36092]","[0.030848694528999777, -0.05711589977151444, -0.02489275845656913]"
2024-02-23T22:04:47.757905,2,10,"[-0.6299105494499999, 0.51146583075, 9.668199715299998]","[0.32270000000000004, -0.31374, -0.36302000000000006]","[-0.07559457322700441, -0.057879481319261954, 0.011301006906663285]"
2024-02-23T22:04:47.857954,2,10,"[-0.20877377184999998, 0.66699929975, 10.6349000457]","[0.30842, -0.3400600000000001, -0.33516]","[-0.11255192013798433, 0.06704245989223219, 0.04581489286485116]"
2024-02-23T22:04:47.958018,2,10,"[0.09870393224999999, 0.6819544409999999, 10.493723512299997]","[0.29190000000000005, -0.38878, -0.32326000000000005]","[-0.137902827523202, -0.031154127148098783, -0.011759155835311796]"
2024-02-23T22:04:48.058081,2,10,"[-0.09870393224999999, 0.36729826909999996, 11.08056325495]","[0.2793, -0.40222, -0.31626000000000004]","[0.0012217304763960308, 0.019700403931885997, -0.006719517620178169]"
2024-02-23T22:04:48.158150,2,10,"[-0.43968115274999997, 0.23150558654999998, 11.111071743099998]","[0.29442, -0.38010000000000005, -0.33502000000000004]","[0.08781187799096472, 0.119118721448613, -0.025961772623415653]"
2024-02-23T22:04:48.258212,2,10,"[-0.26321048599999997, 0.44267218099999994, 10.94536877805]","[0.32466, -0.30842, -0.36596000000000006]","[0.2736676267127109, 0.08078692775168753, -0.01786780821729195]"
2024-02-23T22:04:48.358276,2,10,"[0.04007977854999999, 0.24167508259999998, 10.386644700949999]","[0.3423, -0.22442, -0.4048800000000001]","[0.3051271864799087, 0.13652838073725643, 0.041844268816564056]"
2024-02-23T22:04:48.458400,2,10,"[0.35952159564999997, 0.2141576227, 10.06839929515]","[0.35322000000000003, -0.16254000000000002, -0.45304]","[0.2942843285018939, 0.17745635169652346, -0.014202616788103858]"
2024-02-23T22:04:48.558471,2,10,"[0.3236292566499999, -0.37686955949999995, 9.388837676749999]","[0.34398, -0.10990000000000001, -0.48958]","[0.3042108886226117, 0.19257526634192434, -0.0070249502392771765]"
2024-02-23T22:04:48.658496,2,10,"[0.44925244314999996, -0.55094740365, 9.2745803976]","[0.33418000000000003, -0.0651, -0.5091800000000001]","[0.21792617372714201, 0.20708331574912722, -0.0007635815477475193]"
2024-02-23T22:04:48.759013,2,10,"[0.5670989562, -0.43369909624999997, 8.8438723296]","[0.3311, -0.047740000000000005, -0.51534]","[0.2813034421901861, 0.05390885727097486, -0.15347989109725138]"
2024-02-23T22:04:48.858882,2,10,"[0.4331008906, -0.45463629399999994, 7.865806091849999]","[0.31542000000000003, -0.025060000000000002, -0.5362]","[0.11682797680537044, 0.08429940287132612, -0.04276056667386108]"
